"","call_detail","call_group","call_source","civil_age","civil_age_f","civil_drug","civil_etoh","civil_id","civil_instance","civil_mental","civil_race","civil_sex","civil_transient","force1","force2","force3","force4","force5","force6","force7","force8","force1_any","force2_any","force3_any","force4_any","force5_any","force6_any","force7_any","force8_any","force_officer_sum","incid_force_lev","incid_force_calc","incid_day","incid_disp","incid_id","incid_month","incid_sixhour","incid_year","officer_id","officer_precinct","officer_precinct_collapsed","officer_tenure","officer_tenure_f","resist1","resist2","resist3","resist4","resist5","resist6","resist7","resist8","threat_biohaz","threat_blunt","threat_gun","threat_gun_implied","threat_gun_replica","threat_knife","threat_other","threat_unused_weapon","threat_unarmed","threat_sum","recordcount_1","recordcount_2"
"11","FOLLOW-UP","Other","Self-Initiated",21,"15-24","1","0",1500923,310047533,"0","Hispanic","Female","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Friday","Arrest-Felony",308546610,"March","0600-1159",2020,276472,"East Precinct","East Precinct",0,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1,1,1
"12","TRIMET INCIDENT - PRIORITY","TriMet","Dispatched",21,"15-24","0","0",4038327,598575640,"0","Black","Male","Yes","Resisted HC","Takedown (II and III)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Sunday","Arrest-Misdemeanor",594537313,"May","0000-0559",2019,998341,"Central Precinct","Central Precinct",0,"[0-2]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"13","WELFARE CHECK - COLD","Welfare Check","Dispatched",21,"15-24","1","0",3515339,767071084,"0","White","Male","No","Box-in VIS","PFA","PFA",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Friday","Arrest-Felony",763555745,"January","0600-1159",2021,174161,"Central Precinct","Central Precinct",0,"[0-2]","Aggressive","Aggressive","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"14","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",21,"15-24","0","0",3452353,88000371,"1","White","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Arrest-Warrant",84548018,"July","1200-1759",2020,864331,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"15","DISTURBANCE - PRIORITY","Disturbance","Dispatched",22,"15-24","0","0",551614,900089310,"0","White","Female","Yes","Control Against Resistance","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Monday","Arrest-Warrant",899537696,"June","1800-2359",2019,981341,"North Precinct","North Precinct",0,"[0-2]","Active","Active","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"16","ECIT","Behavioral Health","Dispatched",22,"15-24","0","1",4015240,544563583,"1","Asian","Male","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Saturday","Release to Medical",540548343,"August","1200-1759",2020,710512,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"17","DISTURBANCE - PRIORITY","Disturbance","Dispatched",23,"15-24","0","0",607350,13163118,"0","White","Female","No","Control Against Resistance","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Sunday","Arrest-Felony",12555768,"January","1200-1759",2021,713512,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active","Aggressive",NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,2,1,1
"18","ROBBERY - PRIORITY *H","Robbery","Dispatched",23,"15-24","0","0",4155067,971703454,"0","White","Male","No","Takedown (II and III)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Wednesday","Arrest-Felony",967548387,"September","1800-2359",2020,358482,"East Precinct","East Precinct",0,"[0-2]","Aggressive",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"19","ROLLING STOLEN *H","Stolen Vehicle","Self-Initiated",24,"15-24","0","0",621740,181160759,"0","White","Male","Yes","Control Against Resistance","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Friday","Arrest-Felony",180539019,"September","0600-1159",2019,894431,"Training","Other",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"20","THEFT - PRIORITY","Theft","Dispatched",24,"15-24","0","0",4133091,460689363,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Misdemeanor",456556272,"March","1200-1759",2021,1085552,"North Precinct","North Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"21","VEHICLE RECOVERED","Stolen Vehicle","Dispatched",25,"25-34","0","0",621740,678167424,"0","White","Male","Yes","Control Against Resistance","Control Against Resistance","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Wednesday","Arrest-Felony",677545684,"January","1200-1759",2020,1031451,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"22","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",25,"25-34","1","1",3941807,879488763,"1",NA,"Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Sunday","Release to Medical",875546956,"April","1800-2359",2020,964441,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"23","DISTURBANCE - PRIORITY","Disturbance","Self-Initiated",25,"25-34","0","1",384263,622921797,"0","Black","Female",NA,"Control Against Resistance","Resisted HC","Takedown (IV)","Control Against Resistance",NA,NA,NA,NA,1,1,1,1,0,0,0,0,4,"IV","1","Tuesday","Arrest-Misdemeanor",622537534,"June","1800-2359",2019,490391,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active","Active","Active",NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"24","THREAT - PRIORITY","Threat","Dispatched",25,"25-34","0","0",4051501,807591256,"0","Black","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Misdemeanor",803539755,"November","0600-1159",2019,998141,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"25","AREA CHECK","Area/Premise Check","Self-Initiated",25,"25-34","0","0",4016676,817562952,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Felony",813546276,"February","1800-2359",2020,899431,"North Precinct","North Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"26","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Self-Initiated",26,"25-34","0","0",631047,479187059,"0","White","Male","No","Takedown (II and III)","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Friday","Arrest-Felony",478556012,"February","1800-2359",2021,174161,"East Precinct","East Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"27","VEHICLE STOLEN - PRIORITY","Stolen Vehicle","Dispatched",26,"25-34","0","0",628376,316176777,"0","White","Male","Yes","PFA",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Friday","Arrest-Felony",315548401,"September","0600-1159",2020,1087552,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"28","DISTURBANCE - PRIORITY","Disturbance","Dispatched",27,"25-34","0","0",518601,471067333,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Arrest-Warrant",470548732,"October","1800-2359",2020,710512,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"29","ECIT","Behavioral Health","Dispatched",27,"25-34","0","1",3937954,955477631,"1","Black","Male","No","Takedown (IV)",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Release to Medical",951539677,"November","1200-1759",2019,856431,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"30","PREMISE CHECK","Area/Premise Check","Dispatched",27,"25-34","0","0",484563,883021409,"0","White","Male","Yes","Resisted HC","Takedown (IV)",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Thursday","Arrest-Warrant",882536846,"April","1200-1759",2019,874031,"East Precinct","East Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"31","SUSPICIOUS - PRIORITY","Suspicious","Dispatched",27,"25-34","1","0",491727,872038163,"0","White","Male","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Release to Medical",871546436,"March","0000-0559",2020,811421,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"32","DISTURBANCE - PRIORITY","Disturbance","Dispatched",27,"25-34","0","1",3766627,692313251,"0","Native American","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Saturday","Arrest-Misdemeanor",688546624,"March","1200-1759",2020,340482,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"33","TRAFFIC STOP","Traffic Stop","Self-Initiated",28,"25-34","0","0",410528,74949266,"0","Black","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Thursday","Arrest-Felony",74538738,"September","0600-1159",2019,172561,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"34","WARRANT","Warrant","Dispatched",28,"25-34","0","0",3683223,982219110,"0","Hispanic","Male","No","Resisted HC","CEW",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Friday","Arrest-Warrant",978535887,"January","1800-2359",2019,998341,"Training","Other",0,"[0-2]","Aggressive","Aggressive",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"35","AREA CHECK","Area/Premise Check","Dispatched",28,"25-34","1","0",3632201,838170077,"0","Black","Male","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Monday","Arrest-Misdemeanor",834537876,"July","1200-1759",2019,856431,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"36","VANDALISM - PRIORITY","Vandalism","Dispatched",29,"25-34","0","0",341488,29897376,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Saturday","Arrest-Warrant",29555888,"January","1200-1759",2021,984542,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1
"37","ECIT","Behavioral Health","Dispatched",29,"25-34","0","1",1888990,945445397,"1","White","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Release to Medical",943556407,"March","1200-1759",2021,935542,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"38","ECIT","Behavioral Health","Dispatched",29,"25-34","0","1",1888990,945445397,"1","White","Female","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Release to Medical",943556407,"March","1200-1759",2021,1015542,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"39","ASSIST - CITIZEN OR AGENCY","Assist","Dispatched",30,"25-34","0","0",406121,818942137,"0","Black","Male","Yes","Takedown (IV)","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Wednesday","Arrest-Felony",818536016,"January","0000-0559",2019,483291,"East Precinct","East Precinct",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"40","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",30,"25-34","1","0",401313,709957587,"0","White","Male","No","Box-in VIS",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Friday","Arrest-Felony",709556274,"March","1200-1759",2021,323371,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"41","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",30,"25-34","1","0",401313,709957587,"0","White","Male","No","Box-in VIS","Box-in VIS",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"III","2","Friday","Arrest-Felony",709556274,"March","1200-1759",2021,935542,"East Precinct","East Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"42","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE","Suspicious","Dispatched",30,"25-34","1","1",607339,101155667,"0","White","Male","No","Control Against Resistance","Takedown (IV)","Control Against Resistance","Control Against Resistance","Takedown (IV)","Control Against Resistance",NA,NA,1,1,1,1,1,1,0,0,6,"III","2","Friday","Arrest-Felony",100548328,"August","0000-0559",2020,340482,"East Precinct","East Precinct",0,"[0-2]","Aggressive","Aggressive","Active","Active","Active","Active",NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"43","DISTURBANCE - PRIORITY","Disturbance","Dispatched",30,"25-34","0","0",587293,137123432,"1","Black","Male","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Release to Medical",136536139,"February","1200-1759",2019,133361,"Training","Other",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"44","UNWANTED PERSON","Unwanted Person","Self-Initiated",30,"25-34","1","0",486424,881025810,"1","White","Female","No","Control Against Resistance","Resisted HC","Takedown (IV)",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Sunday","Release to Medical",880539386,"October","1200-1759",2019,998141,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"45","UNWANTED PERSON","Unwanted Person","Dispatched",30,"25-34","1","0",464024,846002000,"0","Black","Female","Yes","Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Monday","Arrest-Warrant",845537976,"July","1800-2359",2019,313371,"East Precinct","East Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"46","ECIT","Behavioral Health","Dispatched",31,"25-34","0","0",398702,619954516,"1","White","Male","No","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"II","3","Friday","Release to Medical",619555814,"January","1200-1759",2021,984542,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,2,1,1
"47","ECIT","Behavioral Health","Dispatched",31,"25-34","0","0",398702,619954516,"1","White","Male","No","Control Against Resistance","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Friday","Release to Medical",619555814,"January","1200-1759",2021,174161,"Central Precinct","Central Precinct",0,"[0-2]","Aggressive","Aggressive","Active",NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,2,1,1
"48","ASSAULT - WITH WEAPON *H","Assault","Dispatched",31,"25-34","1","0",558827,763108252,"1","Black","Male","No","Control Against Resistance","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Sunday","Release to Medical",762549425,"December","0000-0559",2020,648512,"Central Precinct","Central Precinct",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"49","DISTURBANCE - PRIORITY","Disturbance","Dispatched",31,"25-34","1","0",459427,361006318,"0","White","Male",NA,"Resisted HC","Control Against Resistance",NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,2,"IV","1","Tuesday","Arrest-Misdemeanor",360546891,"April","1200-1759",2020,964441,"Training","Other",0,"[0-2]","Active","Active",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"50","WELFARE CHECK - PRIORITY","Welfare Check","Dispatched",31,"25-34","1","0",1940586,164497055,"0","White","Female","Yes","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Wednesday","Release to Medical",162556469,"March","0600-1159",2021,938542,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"51","DISTURBANCE - WITH WEAPON *H","Disturbance","Dispatched",31,"25-34","0","0",584541,234132801,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",233548260,"August","1800-2359",2020,312472,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"52","ACCIDENT - HIT & RUN - PRIORITY","Collision","Dispatched",31,"25-34","0","1",496653,913042430,"0","Hispanic","Male","No","Control Against Resistance","Takedown (IV)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Thursday","Arrest-Misdemeanor",912545777,"January","1200-1759",2020,613201,"East Precinct","East Precinct",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"53","ACCIDENT - HIT & RUN - PRIORITY","Collision","Dispatched",31,"25-34","0","1",496653,913042430,"0","Hispanic","Male","No","Resisted HC",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Thursday","Arrest-Misdemeanor",912545777,"January","1200-1759",2020,606401,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"54","UNWANTED PERSON","Unwanted Person","Dispatched",32,"25-34","0","0",575061,362114552,"0","Asian","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Tuesday","Arrest-Misdemeanor",361539491,"November","1200-1759",2019,998141,"Central Precinct","Central Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"55","ASSISTANCE - AGENCY COVER CODE 1","Assist","Self-Initiated",32,"25-34","0","0",462535,823000071,"0","Black","Male","No","Control Against Resistance","Control Against Resistance","Takedown (IV)",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"IV","1","Thursday","Arrest-Warrant",822537536,"June","0000-0559",2019,1064351,"East Precinct","East Precinct",0,"[0-2]","Active","Active","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1
"56","ACCIDENT - NON INJURY","Collision","Dispatched",33,"25-34","0","1",329911,726876296,"0","White","Female","No","Resisted HC","Strikes/kicks","Control Against Resistance",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"III","2","Saturday","Arrest-Felony",726546385,"February","1800-2359",2020,856431,"North Precinct","North Precinct",0,"[0-2]","Active","Aggressive","Active",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"57","UNWANTED PERSON","Unwanted Person","Dispatched",33,"25-34","1","1",465560,116003719,"0","White","Female","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"IV","1","Monday","Arrest-Misdemeanor",115538159,"July","1200-1759",2019,856431,"Training","Other",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"58","THEFT - PRIORITY","Theft","Dispatched",34,"25-34","0","0",1507941,900056727,"0","White","Male","No","Resisted HC","Takedown (II and III)","Resisted HC",NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,3,"II","3","Tuesday","Arrest-Felony",898548786,"October","1200-1759",2020,358482,"North Precinct","North Precinct",0,"[0-2]","Active","Aggressive","Aggressive",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
"59","VANDALISM - PRIORITY","Vandalism","Dispatched",34,"25-34","1","0",4122489,123669198,"0","White","Male","Yes","Control Against Resistance",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,"III","2","Sunday","Arrest-Felony",119546709,"March","1200-1759",2020,894431,"East Precinct","East Precinct",0,"[0-2]","Active",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,1
