Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Month,Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Year,Record Count,Record Count
,,Arrest-Misdemeanor,TUE,,,,Takedown,,,,,,,,-,Assist,RIVER - MARINE INCIDENT,,,July,,No weapon (unarmed),972240,Central Precinct,10.410277778,,135517979,3758680,White,Male,Yes,29.445894216,3758680135517979,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,TUE,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,July,,No weapon (unarmed),218259,Traffic,14.533219178,,937517977,3553392,White,Female,No,17.607191781,3553392937517977,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,TUE,,,,Takedown,,,,,,,,-,Robbery,ROBBERY - PRIORITY *H,,,July,,No weapon (unarmed),1043450,North Precinct,8.934058219,,456517982,291161,White,Male,No,46.251866438,291161456517982,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,TUE,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,No,August,,No weapon (unarmed),243370,Central Precinct,9.624628995,,75518248,3820335,Black,Male,No,52.827368721,382033575518248,Active,,,,,,,,Dispatched,No,No,,2017,1,1
,,Arrest-Warrant,TUE,,,,Takedown,,,,,,,,-,Vice,"DRUGS, LIQUOR, PROSTITUTION",,No,July,Needle / Spit / Bodily Fluids,,476388,East Precinct,23.259512938,,19517978,624608,White,Male,Yes,32.144444444,62460819517978,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Detained and Released,TUE,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,July,,No weapon (unarmed),1007239,North Precinct,17.907077626,,222517790,7208743,Hispanic,Male,Yes,27.282420091,7208743222517790,Passive,,,,,,,,Dispatched,,,,2017,1,1
,,Detained and Released,TUE,,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - COLD,,No,July,,No weapon (unarmed),942039,East Precinct,18.964155251,,843517766,620349,White,Female,Yes,22.816210046,620349843517766,Passive,,,,,,,,Self-Initiated,,,,2017,1,1
,,Detox,TUE,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,No,July,,No weapon (unarmed),432690,East Precinct,15.088243912,,122518059,615195,White,Male,No,33.880024734,615195122518059,Active,,,,,,,,Dispatched,Yes,No,,2017,1,1
,,Detox,TUE,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,No,July,,No weapon (unarmed),415579,East Precinct,21.993757610,,122518059,615195,White,Male,No,33.881428843,615195122518059,Active,,,,,,,,Dispatched,Yes,No,,2017,1,1
,,Arrest-Felony,WED,,,,PFA,,,,,,,,-,Area/Premise Check,PREMISE CHECK,,,July,,No weapon (unarmed),403379,East Precinct,15.053763318,,222517900,881998,Black,Male,Yes,37.478420852,881998222517900,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,PFA,,,,,,,,-,Area/Premise Check,PREMISE CHECK,,,July,,No weapon (unarmed),403379,East Precinct,15.053763318,,222517900,290665,Black,Male,Yes,46.171571537,290665222517900,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,PFA,,,,,,,,-,Burglary,BURGLARY - PRIORITY *H,,,July,,No weapon (unarmed),777419,Central Precinct,117.650878995,,831518076,840939,White,Male,No,41.872796804,840939831518076,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,WED,,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - COLD,,Unclear,July,,No weapon (unarmed),1061749,Central Precinct,20.768696728,,531517793,1766615,White,Female,No,32.360477549,1766615531517793,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,,,,-,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,August,,No weapon (unarmed),797721,East Precinct,5.087996575,,196518249,1874863,White,Male,Yes,34.972928082,1874863196518249,Active,Active,Active,Active,Active,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,August,,No weapon (unarmed),180060,East Precinct,11.887996575,,196518249,1874863,White,Male,Yes,34.972928082,1874863196518249,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Threat,THREAT - PRIORITY,,,July,,No weapon (unarmed),1098151,East Precinct,0.497374429,,796518075,591940,Black,Male,Yes,33.135730594,591940796518075,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Threat,THREAT - PRIORITY,,,July,,No weapon (unarmed),514690,East Precinct,13.289611872,,796518075,591940,Black,Male,Yes,33.136187215,591940796518075,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Threat,THREAT - PRIORITY,,,July,,No weapon (unarmed),940938,East Precinct,23.280905632,,796518075,591940,Black,Male,Yes,33.135700152,591940796518075,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - COLD,,No,July,,No weapon (unarmed),751121,East Precinct,0.785614536,,353517811,438452,White,Male,No,34.306162481,438452353517811,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - COLD,,No,July,,No weapon (unarmed),776021,East Precinct,1.744419711,,353517811,438452,White,Male,No,34.306063546,438452353517811,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - COLD,,No,July,,No weapon (unarmed),648809,East Precinct,20.325323440,,353517811,438452,White,Male,No,34.306145358,438452353517811,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Arrest-Misdemeanor,WED,,,,CEW,,,,,,,,-,Behavioral Health,ECIT,,,July,,No weapon (unarmed),906630,North Precinct,15.474027778,,532517803,475787,Black,Male,No,26.783616819,475787532517803,Aggressive,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,WED,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,,,August,,No weapon (unarmed),650810,Central Precinct,13.902285008,,341518341,293776,White,Male,Yes,35.395435693,293776341518341,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,WED,,Firearm - Implied,,Takedown,CHWI,,,,,,,-,Warrant,WARRANT,,,July,,,937541,North Precinct,7.977439117,,243518080,515811,Black,Male,No,26.240452816,515811243518080,Active,Active,,,,,,,Self-Initiated,,,,2017,1,1
,,Release to Medical,WED,,,,Aerosol rest.,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,,July,,,915631,East Precinct,6.230433790,,631517804,445841,Black,Female,No,35.246872146,445841631517804,Aggressive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Cited,THU,,,,Takedown,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,August,,No weapon (unarmed),855830,Central Precinct,7.960909437,,509518182,176920,Black,Male,Yes,56.073238204,176920509518182,Active,,,,,,,,Self-Initiated,,Yes,,2017,1,1
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,July,,No weapon (unarmed),427089,North Precinct,12.007851979,,983522487,452689,Asian,Male,Yes,31.514701294,452689983522487,Passive,,,,,,,,Self-Initiated,,Yes,,2017,1,1
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,August,,,164861,Central Precinct,3.358249619,,291518270,1834361,White,Female,No,37.287016743,1834361291518270,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,August,,,243370,Central Precinct,9.629482496,,291518270,1834361,White,Female,No,37.287016743,1834361291518270,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,August,,,1053849,Central Precinct,15.786029300,,291518270,1834361,White,Female,No,37.287399163,1834361291518270,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,August,,No weapon (unarmed),910731,North Precinct,4.873829909,,641518274,153248,Black,Male,No,54.805336758,153248641518274,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,August,,No weapon (unarmed),949741,North Precinct,4.873829909,,641518274,153248,Black,Male,No,54.805336758,153248641518274,Active,,,,,,,,Self-Initiated,,,,2017,1,1
,,Arrest-Felony,THU,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,,July,,No weapon (unarmed),232269,K9,14.039278919,,109517818,157945,Black,Male,Yes,41.061196728,157945109517818,Active,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Misdemeanor,THU,,,,Takedown,,,,,,,,-,Robbery,ROBBERY - PRIORITY *H,,,August,,No weapon (unarmed),307070,Central Precinct,10.089819254,,579518363,390858,White,Female,No,37.243243912,390858579518363,Active,,,,,,,,Dispatched,Yes,,,2017,1,1
,,Arrest-Felony,FRI,,,,PFA,,,,,,,,-,Burglary,BURGLARY - PRIORITY *H,,,July,,No weapon (unarmed),166260,East Precinct,10.322945205,,347517931,305391,White,Male,Yes,47.051712329,305391347517931,Passive,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,FRI,,,,PFA,,,,,,,,-,Burglary,BURGLARY - PRIORITY *H,,,July,,No weapon (unarmed),1100050,East Precinct,11.876369863,,347517931,305391,White,Male,Yes,47.051712329,305391347517931,Passive,,,,,,,,Dispatched,,Yes,,2017,1,1
,,Arrest-Felony,FRI,,,,PFA,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,July,,No weapon (unarmed),924741,North Precinct,4.797657915,,411517921,563995,Hispanic,Male,No,31.567520928,563995411517921,Active,,,,,,,,Self-Initiated,Yes,,,2017,1,1
,,Arrest-Felony,FRI,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,July,,No weapon (unarmed),1102751,East Precinct,4.548312405,,61518098,3663767,White,Male,Yes,38.479819254,366376761518098,Active,,,,,,,,Self-Initiated,,Yes,,2017,1,1
,,Arrest-Felony,FRI,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - COLD,,,August,,,1047348,Central Precinct,23.630403349,,842518276,618674,White,Male,Yes,21.594786910,618674842518276,Active,,,,,,,,Dispatched,Yes,Yes,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,FRI,,,,PFA,,,,,,,,-,Threat,THREAT - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,No,July,,,695410,East Precinct,9.178314307,,341517831,588396,Black,Male,No,33.000232116,588396341517831,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,FRI,,,,Takedown,,,,,,,,-,TriMet,TRIMET INCIDENT - COLD,,,July,,No weapon (unarmed),218259,Traffic,14.560759132,,641518104,464024,Black,Female,Yes,28.092265982,464024641518104,Active,,,,,,,,Dispatched,,,,2017,1,1
,,Cite and Release,FRI,Firearm,,,PFA,,,,,,,,-,Other,UNDESCRIBED INCIDENT,,No,July,,,1027551,East Precinct,7.427288813,,486517842,397037,White,Male,No,24.016329909,397037486517842,Passive,,,,,,,,Self-Initiated,,,,2017,1,1
,,Detained and Released,FRI,,,,PFA,PFA,,,,,,,-,Robbery,ROBBERY - WITH WEAPON *H,,No,July,,,606800,Central Precinct,13.830947489,,367517831,302620,Black,Male,No,40.995331050,302620367517831,Active,Active,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Detained and Released,FRI,,,,Strikes/kicks,Strikes/kicks,Takedown,,,,,,-,Subject Stop,PERSON CONTACT (86),,Unclear,August,,No weapon (unarmed),1043450,North Precinct,8.997439117,,809518275,562477,White,Male,No,41.216617199,562477809518275,Active,Active,Active,,,,,,Self-Initiated,,Yes,,2017,1,1
,,Arrest-Felony,SAT,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,,July,,,353581,North Precinct,6.030783866,,841517936,619578,White,Male,No,22.203386606,619578841517936,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
,,Arrest-Misdemeanor,SAT,,,,CEW,,,,,,,,-,Collision,ACCIDENT - UNKNOWN INJURY,,,August,,No weapon (unarmed),953641,Central Precinct,6.430528919,,417518202,583208,White,Male,No,26.805871385,583208417518202,Active,,,,,,,,Self-Initiated,Yes,Yes,,2017,1,1
,,Arrest-Misdemeanor,SAT,,,,PFA,,,,,,,,-,Suspicious,SUSPICIOUS - WITH WEAPON *H,,,July,,,1027551,East Precinct,7.429280822,,291517850,594948,Hispanic,Male,No,19.448458904,594948291517850,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,2017,1,1
